0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:52 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:52 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:53 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:53 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:24 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:24 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:25 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:25 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:26 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:26 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:27 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:27 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:28 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:28 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:29 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:29 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:05:30 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:06 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:08 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:09 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:09 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:10 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:10 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:11 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:11 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:12 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:07:13 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:11:13 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:11:13 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:28:32 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:29:17 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:29:18 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:29:20 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:29:24 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:29:55 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:43:52 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:43:54 +0900] "GET /WebProject/day1021/ex5_testxml.xml HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:46:27 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:46:29 +0900] "GET /WebProject/day1021/ex5_testxml.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:55:20 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:55:21 +0900] "GET /WebProject/day1021/ex5_testxml.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:55:46 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [22/Oct/2020:12:56:10 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:00:39 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:00:45 +0900] "GET /WebProject/day1021/sawonxml.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:48 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:51 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:52 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:52 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:56 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:57 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:58 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:58 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:16:58 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:17:34 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:17:45 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:17:46 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:17:47 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:17:47 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:17:48 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:17:48 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:18:00 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:18:02 +0900] "GET /WebProject/day1021/person_to_json.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [22/Oct/2020:13:20:53 +0900] "GET /WebProject/day1022/ex3_ajaxread.html HTTP/1.1" 200 2287
